635nm,520nm,405nm,target
29.94906932,30.27893463,29.62543116,0
29.725254,30.01015571,29.59042565,1
30.36277954,29.78338623,30.10488218,0
30.32244911,29.94051091,30.41310601,1
30.512621,30.47663975,30.4224408,1
30.03191526,29.88584225,29.85230946,1
30.13117267,30.01371884,29.51314624,1
30.54570167,29.63219496,29.55826771,0
30.52309728,29.81495494,29.75608551,0
30.55963793,30.45409307,30.74422228,0
30.25939376,30.22332722,30.16224575,0
30.32588981,30.15534865,30.30564565,1
30.42131687,29.83788038,29.48127446,1
29.911048,30.22839172,30.15320095,0
30.76394924,30.39875046,30.52768637,0
29.95061013,30.63081803,29.91439991,1
29.81113567,30.07859611,29.83794444,0
30.17395993,29.89595082,30.4042491,0
30.27071418,30.01046747,30.05463802,0
30.45655359,30.45103669,30.32857926,1
30.37019848,29.79381418,29.4349688,0
30.25850401,30.31742285,30.56252741,0
30.49110484,30.14726593,30.60622768,0
30.390647,30.01585042,30.13469144,1
30.43929391,30.32105544,30.29827038,1
29.84671957,29.96410899,29.64864741,0
